instruction,input,output
Troubleshoot the mobile network issues,AMF not registered in NRF;AMF failed to register its NF profile after boot; certificate or API issue with NRF; configuration error in service registration,Verify AMF's NF registration logs; ensure NRF is reachable and credentials are correct; re-register AMF service and check NRF for entry
Troubleshoot the mobile network issues,SBI interface TLS handshake failure (AMF);SSL/TLS certificate expired or not trusted; AMF and peer (e.g.; AUSF/SMF) cannot establish secure connection,Renew or install correct certificates on AMF and peers; verify trust store configuration; attempt connection again after cert update
Troubleshoot the mobile network issues,UE paging failure (AMF did not page UE);AMF lost track of UE location; paging message not sent due to internal error; incorrect registration area info,Check AMF paging logs; ensure UE's last known cell is in AMF's tracking area list; correct any TA list misconfigurations and re-test
Troubleshoot the mobile network issues,Forbidden PLMN registration reject;UE attempting registration on a PLMN not allowed by core config; subscription restricts roaming on this network,Verify PLMN allowlist/denylist in AMF configuration; update subscriber roaming permissions in UDM if needed; advise UE to use permitted PLMN
Troubleshoot the mobile network issues,Service Request failure for idle UE;AMF did not have context (due to improper release); UE used outdated 5G-GUTI; missing UE context after idle mode,Force UE re-registration; ensure AMF properly retains context or uses registration area update; check if context was prematurely dropped
Troubleshoot the mobile network issues,Network slicing information mismatch;Slice information in UE request doesn't match any configured S-NSSAI in AMF; possible UE configuration error or outdated slice list,Update slice configurations if needed; confirm UE is requesting a valid slice; if UE misconfigured; advise to update slice settings
Troubleshoot the mobile network issues,Excessive deregistration requests observed;Network instability causing many UEs to deregister; possible bug causing repeated deregistration; malicious UE behavior,Analyze deregistration patterns in AMF logs; if bug; apply fix or workaround; if external cause; stabilize network or identify offending UEs
Troubleshoot the mobile network issues,PDU session establishment failure;DNN not configured or allowed; missing network slice support; SMF selection error,Verify requested DNN/S-NSSAI is configured in SMF; check subscriber's allowed DNN/slice in UDM; correct configuration and retry
Troubleshoot the mobile network issues,PFCP association with UPF failed;UPF not reachable (down or IP mismatch); firewall blocking N4 port; certificate issue (if PFCP TLS),Check UPF status and connectivity (ping N4 IP); ensure PFCP port is open and matching; correct IP config on SMF and re-initiate association
Troubleshoot the mobile network issues,PFCP session establishment error;UPF returned error (no resources or unknown configuration); TEID allocation mismatch; unsupported PFCP IE by UPF,Review SMF and UPF logs for PFCP cause; confirm UPF has capacity and proper config; adjust SMF PFCP parameters or upgrade UPF if needed
Troubleshoot the mobile network issues,Policy control (N7) interface failure;PCF not responding or offline; N7 HTTP endpoint misconfigured; TLS handshake failure between SMF and PCF,Ensure PCF service is up; verify N7 interface URL and ports in SMF configuration; check certificate trust between SMF and PCF
Troubleshoot the mobile network issues,Delayed response from SMF to AMF;SMF processing is slow due to high load; internal thread contention; garbage collection pause (in cloud-native SMF),Check SMF CPU and memory usage; scale out or load balance SMF instances; tune performance (e.g.; adjust GC or thread settings); ensure no blocking bug
Troubleshoot the mobile network issues,PDU session release incomplete;SMF failed to delete session context; PFCP session not cleared on UPF; signaling message lost during release,Manually remove lingering session via SMF CLI or O&M; sync with UPF to clear PFCP state; apply software fix if known issue in release
Troubleshoot the mobile network issues,QoS rule update failure;Requested QoS not supported by UPF or radio; PCF provided conflicting QoS parameters; SMF-QoS mapping error,Review QoS (5QI) settings in PCF policy and SMF; adjust to supported values; ensure UPF and gNB support the QoS profile; resend update
Troubleshoot the mobile network issues,SMF service in overload state;Too many simultaneous session requests; possible signaling storm or misbehaving device; resource limits reached,Enable overload control on SMF (throttle new sessions); investigate source of sudden load; expand capacity or deploy additional SMF instances
Troubleshoot the mobile network issues,SMF application crash;Software defect in SMF triggered by specific sequence; memory corruption issue; known bug in current SMF release,Analyze core dump and SMF logs; check for known bugs (Ericsson release notes); upgrade to a patched SMF version or apply hotfix
Troubleshoot the mobile network issues,SMF configuration error (DNN mapping);Requested DNN not mapped to any UPF; SMF missing configuration for that APN/DNN; provisioning oversight,Update SMF configuration to include the DNN and its corresponding UPF; sync configuration with UDM subscription data; test with UE again
Troubleshoot the mobile network issues,Subscriber session data retrieval failed;SMF cannot fetch subscriber session profile from UDM; Nudm query timed out; subscription info missing (no 5G data plan),Ensure UDM is reachable and responding; verify subscriber has 5G service data provisioned; correct any missing data and reattempt session setup
Troubleshoot the mobile network issues,Charging function interface error;SMF unable to report to CHF (Nchf) due to connectivity or config issue; CHF endpoint down; missing charging subscription,Check CHF service status; verify SMF Nchf client configuration (URL/credentials); use interim offline charging if applicable until resolved; restore CHF connectivity
Troubleshoot the mobile network issues,No UPF available for selected slice/DNN;All UPF instances serving slice are down or overloaded; SMF slice-to-UPF mapping not configured; NSSF/NRF info outdated,Bring up an available UPF for the slice or re-route to alternate UPF; update SMF's slice mapping configuration; refresh NRF info and retry
Troubleshoot the mobile network issues,Duplicate IP address allocated to UE;IP pool mismanagement by SMF; stale entry not cleared upon last release; lack of sync in distributed IP allocation,Audit SMF IP address pool for conflicts; clear or reclaim IP of terminated sessions; implement IP pool synchronization or use UDM/UDR for centralized allocation
Troubleshoot the mobile network issues,PFCP heartbeat timeout - UPF marked down;Periodic PFCP keepalive from UPF not received; network latency or packet loss; UPF process hang,Check connectivity and latency between SMF and UPF; restart or failover the UPF if unresponsive; adjust PFCP timer if necessary to account for network conditions
Troubleshoot the mobile network issues,SMF selection failure by AMF;AMF could not find an appropriate SMF via NRF (no response or no matching profile); SMF not registered for requested slice or DNN,Ensure SMF is registered in NRF with correct slice/DNN info; update SMF's NF profile as needed; verify NSSF is providing correct guidance to AMF
Troubleshoot the mobile network issues,SMF license capacity reached;Number of active PDU sessions exceeds licensed limit; license not updated for expansion; improper license configuration,Obtain or activate additional license capacity for SMF; reduce session load or disconnect idle sessions; plan capacity expansion in licensing
Troubleshoot the mobile network issues,SMF state database error;Issue with SMF's internal database or UDR for session context; database cluster node down; data inconsistency,Verify database (UDR/Cassandra etc.) status; failover to backup DB node; reconcile any data inconsistency; ensure SMF can access its data store
Troubleshoot the mobile network issues,SMF network configuration error;SMF using incorrect IP or VLAN for N4 or N7 interface; routing issue in SMF host network; misconfigured interface parameters,Check SMF network settings and routing tables; correct IP addresses or VLAN tags; ensure connectivity on all SMF interfaces (N4; N7; N11)
Troubleshoot the mobile network issues,PFCP message decoding error;SMF received malformed PFCP message from UPF; possible software bug or version incompatibility; unexpected IE in message,Capture PFCP messages for analysis; verify UPF and SMF software versions compatibility; apply patches or configure SMF to ignore unknown IEs
Troubleshoot the mobile network issues,SMF not releasing resources after handover;UE moved to new AMF/SMF but old SMF kept session; context transfer failed; bug in inter-SMF procedure,Manually remove stale session from old SMF; investigate inter-SMF handover logs; ensure proper configuration for context transfer or use full re-establishment
Troubleshoot the mobile network issues,PDU Session modification failure;SMF unable to modify session (e.g.; add QoS flow) due to PCF error or UPF limitation; message sequence issue,Check PCF provided policy for the modification; ensure UPF supports requested change (e.g.; additional QFI); attempt modification again or release and re-establish session if needed
Troubleshoot the mobile network issues,Inactive session purge malfunction;SMF's periodic cleanup of idle sessions not functioning; stale sessions accumulating; potential memory leak or timer bug,Review SMF timer settings for inactive session cleanup; clear out known stale sessions via admin command; update SMF software if this is a known cleanup bug
Troubleshoot the mobile network issues,SMF to AMF feedback error on release;SMF failed to send release complete to AMF; message lost or process crash during release; AMF waiting for confirm that never arrives,Check SMF logs for release procedure; ensure SMF is stable and can send final messages; if a crash occurred; consider patching; AMF should timeout and clean up if no response
Troubleshoot the mobile network issues,Mismatched session context between SMF instances;In a clustered environment; SMF instances not sharing state correctly; session data not replicated; load balancer misrouted messages,Ensure SMF cluster state synchronization is functioning (if stateless design; check external store); fix load balancer configuration so a single session's messages go to one SMF; possibly enable sticky sessions
Troubleshoot the mobile network issues,Lost PFCP association with SMF;SMF unreachable on N4 interface; SMF service down or restarted; network connectivity issue causing missed heartbeat,Check SMF status and network connectivity; attempt to re-establish PFCP session; if persistent; investigate for SMF failover or network block
Troubleshoot the mobile network issues,GTP-U tunnel down (N3 interface failure);gNB not receiving GTP-U packets; TEID mismatch between gNB and UPF; firewall or routing issue on N3 path,Verify TEID and IP configuration for N3 tunnel on both gNB and UPF; ensure no firewall is blocking GTP (UDP/2152); re-establish the GTP-U tunnel
Troubleshoot the mobile network issues,High packet loss on N3 interface;Backhaul network congestion; packet drops at intermediate router; MTU mismatch causing fragmentation loss,Monitor N3 interface traffic for errors; coordinate with transport network to alleviate congestion; set consistent MTU across gNB and UPF interfaces
Troubleshoot the mobile network issues,N6 interface down (no connectivity to data network);Physical link or port failure; switch/router issue in data network; misconfigured VLAN or IP on N6 interface,Check physical link status and port configurations; restore connectivity or switch to backup link if available; validate N6 interface IP and VLAN settings
Troubleshoot the mobile network issues,No route to external data network;Missing route in UPF routing table for the Data Network; default gateway not set; routing protocol (e.g.; BGP) session down,Add or correct routes on the UPF for the affected data network; verify default gateway and routing protocol status; re-establish any dynamic routing sessions
Troubleshoot the mobile network issues,UPF packet processing delay (overload);Traffic volume exceeds UPF capacity; insufficient CPU or I/O throughput; potential DDoS or abnormal traffic patterns,Scale out user plane by deploying additional UPF instances; ensure adequate CPU/DPDK resources on servers; implement traffic shaping or DDoS protection
Troubleshoot the mobile network issues,UPF memory leak causing performance degradation;Software bug in forwarding plane leaking memory; heavy traffic triggering unfreed buffers; memory usage rising over time,Monitor UPF memory usage; restart UPF service periodically as a workaround; apply vendor patch to fix memory leak in UPF software
Troubleshoot the mobile network issues,UPF process crash;Critical software error (e.g.; null pointer) in user plane code; unhandled exception when processing certain packets; known bug in current release,Gather core dump and crash logs from UPF; open a case with Ericsson if known issue; upgrade to stable software release or apply hotfix
Troubleshoot the mobile network issues,QoS rules not applied on user traffic;UPF failed to install QER (QoS Enforcement Rule); configuration mismatch between SMF and UPF on QoS profile; software issue ignoring QoS parameters,Verify that PFCP messages contain correct QoS parameters; check UPF logs for rule installation; ensure UPF build supports QoS feature; reapply policy or restart UPF
Troubleshoot the mobile network issues,Intermittent traffic drops on N6;Flapping link to data network; output interface errors (CRC/faulty cable); buffer overflow under peak traffic,Inspect N6 interface error counters; replace or repair physical link if errors found; increase buffer or rate-limit bursts to stabilize traffic
Troubleshoot the mobile network issues,GTP-U error indications from gNB;gNB reporting unknown TEID or GTP-U packet loss; UPF may have lost session state (PFCP session not found); out-of-sync tunnel info,Check UPF for presence of the indicated TEID/session; if missing; possibly the UPF restarted and lost state; re-establish the session by triggering UE reattach or handover procedure
Troubleshoot the mobile network issues,PFCP sequence number mismatch;Out-of-order PFCP messages due to network reordering; lost response causing SMF to resend with new seq#; software handling issue,Analyze PFCP message logs for sequence irregularities; ensure network QoS for control traffic; update UPF/SMF software if known PFCP sequencing bug exists
Troubleshoot the mobile network issues,Encapsulation format error;Mismatch in expected protocol (IPv4 vs IPv6) between SMF and UPF; incorrect GTP-U header formation due to config bug,Verify PDU Session type (IPv4/IPv6) agreed between UE and network; check UPF encapsulation settings; correct any config or apply patch to fix GTP-U formatting
Troubleshoot the mobile network issues,NAT table capacity exceeded;Too many concurrent flows causing NAT entries to max out; long timeouts keeping stale entries; potential DDoS creating excessive connections,Increase NAT table size or shorten timeout for idle flows; clear non-essential NAT entries; implement connection rate limiting or add another UPF to share load
Troubleshoot the mobile network issues,Multi-UPF path switch failure;Failure in establishing new user plane route during mobility (anchor UPF to local UPF switch); PFCP signaling between UPFs failed; new path config error,Check N9 interface connectivity and PFCP sessions between UPFs; ensure target UPF is configured to accept handover; verify SMF instructions for path switch; if fail; fall back to anchoring at original UPF
Troubleshoot the mobile network issues,Traffic not matching any PDR (dropped);SMF did not configure a Packet Detection Rule for a particular flow; unexpected traffic (e.g.; new protocol/port) not covered by existing rules; PDR config bug,Review PDR/FAR configurations on UPF for active sessions; if legitimate traffic is being dropped; update SMF rules to include that traffic; deploy fix if PDR installation is incomplete due to a bug
Troubleshoot the mobile network issues,UPF server network interface failure;Physical NIC or driver failure on UPF host; loss of connectivity on one interface due to hardware fault; link down on critical interface,Move traffic to redundant interface if available; replace or reset the faulty NIC; ensure network redundancy to avoid single point of failure
Troubleshoot the mobile network issues,Overlay network issue impacting UPF connectivity;In cloud deployment; VXLAN/overlay misconfiguration leading to packet drop; MTU issues causing fragmentation in overlay; virtual switch problem,Check cloud network settings (VXLAN IDs; MTU) for UPF communication paths; adjust MTU or fragmentation settings; work with cloud admin to resolve any virtual network misconfigurations
Troubleshoot the mobile network issues,UPF CPU utilization at 100%;Extremely high packet forwarding load; lack of hardware acceleration usage; potential infinite loop or heavy processing from a rogue flow,Enable hardware acceleration or DPDK if not already; identify if a specific flow is causing abnormal load and block if needed; add more CPU cores or spin up additional UPF instance to share traffic
Troubleshoot the mobile network issues,UPF to DN encryption issue;If IPsec is used on N6; encryption tunnel failure; key exchange issue or expired SA; misconfigured IPsec policy,Check IPsec/IKE logs if applicable; refresh or renegotiate keys; ensure both ends have matching encryption policies and valid certificates/PSKs
Troubleshoot the mobile network issues,Misordered packets causing jitter;Parallel routing paths for user plane causing out-of-order delivery; load balancing across multiple links without preservation of order; buffer mismanagement,Ensure flows are not split across paths that don't maintain order; implement sequence restoration if needed; coordinate with transport network to adjust load balancing configuration
Troubleshoot the mobile network issues,UPF configuration rollback failure;After a config change attempt (e.g.; new PDR rules); the rollback did not restore previous state properly; partial config left in UPF,Perform a fresh configuration push from O&M; if UPF supports transaction rollbacks; investigate why it failed; possibly restart UPF to clear partial config
Troubleshoot the mobile network issues,Inconsistent usage reporting;UPF usage report (URR) values not resetting or accumulating incorrectly; bug in usage reporting function; misaligned reporting intervals between SMF and UPF,Check URR configuration in SMF for the affected session; reset the usage counters by releasing session if needed; update UPF software if usage report bug is known
Troubleshoot the mobile network issues,User plane packet duplication;Misconfiguration causing two UPFs to forward the same traffic; duplication in a mirrored traffic setup; SMF mistakenly established two routes for one session,Check SMF PFCP rules to ensure only one forwarding path per session; verify no testing or mirroring mode is enabled unintentionally; remove any duplicate rules in UPF configuration
Troubleshoot the mobile network issues,Dropped packets due to DPI/Firewall function;Internal DPI or firewall feature in UPF blocking traffic; policy configured to drop certain content (like disallowed websites or protocols); possibly false positive detection,Review UPF content filtering/DPI logs to identify why packets are dropped; adjust policy to allow legitimate traffic; if not needed; disable overly restrictive firewall rules in UPF
Troubleshoot the mobile network issues,NRF service not responding;NRF application is down or hung; container crash; network connectivity loss to NRF host,Restart the NRF service or pod; check logs for crash clues; ensure the host or VM running NRF is reachable and not overloaded
Troubleshoot the mobile network issues,Slow NF discovery responses (NRF overload);High volume of registration/discovery requests; NRF under-provisioned; possible infinite registration loop from misbehaving NF,Scale out NRF instances or increase CPU/memory; identify any NF re-registering excessively; implement rate limiting or fix NF causing load
Troubleshoot the mobile network issues,NRF database access failure;Backend database (UDR or internal DB) for NRF is down or unreachable; DB connection string misconfigured; DB credentials invalid,Verify DB server status and network connectivity; check NRF configuration for correct DB info; restore DB service or switch to backup
Troubleshoot the mobile network issues,NF registration to NRF failed;Network function provided incorrect credentials or API endpoint; certificate issue blocking NF registration; NF not configured with proper NRF address,Confirm NF (e.g.; SMF/AMF) has correct NRF API URL and credentials; ensure NF's TLS certificate is trusted by NRF; correct config and retry registration
Troubleshoot the mobile network issues,NF discovery returned no results;NRF has no record of the requested NF type (e.g.; PCF) in given network slice; NF never registered or has deregistered; filter parameters (slice ID; etc.) mismatch,Verify that the target NF (service) is registered in NRF and active; if filter used; ensure it matches NF's profile (e.g.; correct slice info); update NF registration if needed
Troubleshoot the mobile network issues,NRF certificate expired;The TLS certificate used by NRF for SBI interfaces has expired or been revoked; NFs refuse to connect due to untrusted certificate,Install a new valid certificate for NRF; update trust anchors on all NFs if necessary; verify NFs can successfully establish secure connection post-update
Troubleshoot the mobile network issues,Incomplete NF profile in NRF;During registration; NF didn't send all required details (e.g.; missing endpoint info or slice support); potential bug in NF registration logic; NRF stored partial info,Have the NF (e.g.; UPF) re-register and ensure all profile data is included; check NF software for known issues in NF profile advertisement; update or patch as needed
Troubleshoot the mobile network issues,NRF cluster inconsistency (data not synced);Multiple NRF instances not sharing the same database or cache; network partition between NRF nodes; inconsistent NF records across cluster,Restore connectivity between NRF nodes; ensure a single source of truth for NF registration data (common DB or sync service); merge and clean up any duplicate or stale entries
Troubleshoot the mobile network issues,Stale NF entries present;NFs that went down did not deregister (e.g.; crash without deregistration); NRF still shows them as active; could mislead discovery,Purge or mark stale NF instances in NRF (via TTL expiry or manual cleanup); configure NFs to deregister on shutdown; shorten heartbeat or registration renewal interval if needed
Troubleshoot the mobile network issues,NRF memory leak observed;NRF application gradually consuming more memory over time; likely a software bug in handling registrations or discovery requests; eventually causes performance issues,Monitor memory usage trend; schedule periodic restarts of NRF as a workaround; apply vendor patch addressing the memory leak in the NRF service
Troubleshoot the mobile network issues,Incompatible NRF API version;An NF is using a different 3GPP API version than NRF (e.g.; NF at v1.1 vs NRF at v1.2); version check failed and NF cannot register or discover,Enable backward compatibility on NRF if available; upgrade the NF to a compatible API version; ensure all NFs and NRF follow same 3GPP API release version
Troubleshoot the mobile network issues,Firewall blocking NRF access;Security rules preventing NFs from reaching NRF on required port (e.g.; 443); newly deployed NRF instance IP not whitelisted; on-prem firewall misconfigured,Update firewall or security group to allow traffic between NFs and NRF on the SBI ports; verify connectivity via ping/telnet; ensure any IP changes are reflected in rules
Troubleshoot the mobile network issues,Excessive NF registration attempts;Misconfigured NF repeatedly registering (perhaps due to crash loop); short NF keep-alive interval causing frequent refresh; bug causing NF to not recognize its already registered,Identify the NF making excessive requests (via logs or NF type); fix the NF configuration or stability issue; increase registration validity period if too short; temporarily block the NF if needed to stabilize NRF
Troubleshoot the mobile network issues,NRF internal processing timeout;NRF took too long to respond to a request (possibly due to slow DB query or code deadlock); internal timeout triggered for the operation,Examine NRF logs for slow query or timeouts; optimize database (add indexes or tune query); consider scaling the database or splitting load; patch NRF if known deadlock issue
Troubleshoot the mobile network issues,NRF disk usage at capacity;NRF log files or database files filled the storage; old NF records or traces not purged; cleanup not configured,Clear out or archive old log files; increase disk allocation for NRF; configure log rotation and database retention policies to prevent recurrence
Troubleshoot the mobile network issues,NRF returned HTTP 500 error to NF;Unhandled exception in NRF on processing request; possible null pointer or data issue; NF request triggered an unexpected error path,Check NRF application logs for stack trace; identify the NF request causing it; work around by adjusting NF query if possible; escalate to R&D for a fix in NRF code
Troubleshoot the mobile network issues,NRF misrouting within cluster;Load balancer or DNS misconfiguration sends NF requests to an inactive NRF instance; sticky session not maintained; causing context issues,Verify NRF cluster load balancing configuration (e.g.; Kubernetes service endpoints or DNS SRV records); remove any offline nodes from rotation; ensure consistent response routing
Troubleshoot the mobile network issues,Invalid NF profile data causing parse error;NF registered with an attribute value outside expected range or format; e.g.; extremely long strings or invalid characters in NF profile; parsing bug in NRF,Identify the offending NF profile (check NRF logs to see which NF caused parse failure); correct the NF's configuration if possible; patch NRF to handle or sanitize unexpected data better
Troubleshoot the mobile network issues,NRF connectivity intermittent;Network instability or flapping link between some NFs and NRF; possibly due to route changes or interface issues; leads to sporadic registration failures,Check network path (trace route) from affected NF to NRF; monitor for packet loss; fix any unstable link or routing issue; consider dual-homing critical NFs to improve reliability
Troubleshoot the mobile network issues,Secondary NRF not updated after primary failure;Failover to backup NRF occurred but some NF registrations didn't carry over; maybe not using shared DB or the sync was delayed; NFs are pointing to old primary only,Ensure high availability setup for NRF uses shared state (or rapid sync); configure NFs to have list of NRF endpoints (primary & secondary); manually sync or re-register critical NF if needed after failover
Troubleshoot the mobile network issues,Unauthorized NF registration attempt;An NF trying to register with incorrect credentials or from an IP not allowed; possibly a rogue or test NF not recognized; NRF rejecting with 403,Verify the identity and credentials of the NF; if legitimate; update NRF trust list or credentials; if rogue; block the source and investigate why it attempted registration
Troubleshoot the mobile network issues,NRF service configuration error;NRF config (yaml) incorrectly set after an update; e.g.; wrong binding address or service name; causing NFs to not find services; config map not applied properly,Review NRF configuration files for errors; correct parameters like service names; ports; etc.; apply corrected configuration and restart; notify NFs or update DNS if addresses changed
Troubleshoot the mobile network issues,NRF not reachable due to DNS resolution failure;NFs use FQDN to reach NRF but DNS entry is missing or misconfigured; recent IP change not updated in DNS; DNS server issues,Test NRF hostname resolution from NF environment; update DNS records or hosts file with correct NRF IP; ensure DNS propagation; as a workaround; configure NFs with temporary IP if needed
Troubleshoot the mobile network issues,Inconsistent service naming causing discovery issues;NF registered service name that doesn't exactly match what other NFs request (e.g.; 'nudm-subscriberdata' vs 'nudm-subscription'); might be due to case or spelling differences,Standardize service names in all NF configurations according to 3GPP spec and Ericsson guidelines; correct any mismatched names in NF config and re-register; if needed; use NRF aliasing feature if available
Troubleshoot the mobile network issues,NRF excessive logging impacting performance;Debug logging left enabled in production; writing large logs on every request; I/O wait slowing down responses,Adjust logging level to normal (info/warning) in NRF configuration; archive or truncate existing large logs; monitor performance improvement after log level change
Troubleshoot the mobile network issues,PCF service down;Policy server process stopped or crashed; out-of-memory error; unplanned restart,Restart the PCF service or instance; analyze crash dump if available; ensure backup PCF instance takes over policy duties in the meantime
Troubleshoot the mobile network issues,N7 interface misconfiguration;PCF listening on wrong port/URI for N7; SMF using incorrect endpoint; mismatched API version causing handshake failure,Verify PCF's N7 service endpoint configuration (URI; port); correct SMF configuration to point to PCF; update API versions or enable backward compatibility as needed
Troubleshoot the mobile network issues,Policy decision error returned;PCF unable to find applicable policy for UE/slice; missing policy rule; internal error in decision engine,Check PCF logs for error details; ensure policy rules exist for the subscriber's plan and slice/DNN; if internal error; consider PCF service restart or patch
Troubleshoot the mobile network issues,PCF-UDR interface failure;PCF cannot retrieve policy data from UDR database; UDR not reachable or query times out; data store credentials invalid,Ensure UDR (policy store) is up and responding; verify PCF has correct UDR connection settings; reconnect or failover to backup UDR; check for data consistency
Troubleshoot the mobile network issues,Invalid QoS parameters in policy;PCF provided QoS values outside allowed range (e.g.; unsupported 5QI or ARP); configuration mistake in policy rules; bug in PCF translation of policy,Audit the policy rule configurations for QoS settings; adjust values to supported range; test with sample UE to ensure SMF accepts the policy; update PCF software if this is a known issue
Troubleshoot the mobile network issues,Missing charging information in policy;Policy rule lacks required charging ID or rating group for the session; integration with CHF not configured; subscriber profile incomplete,Update policy configuration to include necessary charging parameters; ensure PCF-CHF interface is configured if needed; sync subscriber policy profile from BSS/OSS
Troubleshoot the mobile network issues,PCF under heavy load (overload);Large number of simultaneous policy requests (e.g.; after outage recovery); complex policies causing high CPU usage; insufficient hardware resources allocated,Scale out PCF instances or allocate more CPU/memory; simplify policy logic if possible to reduce processing per request; ensure load balancing of requests across PCF instances
Troubleshoot the mobile network issues,PCF application crash;Unhandled exception in policy engine code; edge-case input causing crash; memory leak leading to OOM and restart,Examine PCF logs around time of crash for clues; apply any available patches for stability; restart PCF and monitor; have a secondary PCF handle requests during primary outage
Troubleshoot the mobile network issues,Outdated policy cached;PCF using an older version of policy data (cached) that doesn't reflect recent changes; subscriber moved to new plan but cache not refreshed; sync delay,Clear or refresh PCF cache for policy data; ensure PCF fetches latest rules from UDR or internal DB; implement event-triggered updates on policy changes to keep PCF in sync
Troubleshoot the mobile network issues,PCF configuration error after upgrade;Some config parameters not migrated properly during software upgrade; feature toggles or endpoints not set correctly; leading to partial functionality,Review PCF configuration files and compare with previous version; correct any discrepancies (e.g.; missing feature flags); test policy retrieval and enforcement thoroughly post-fix
Troubleshoot the mobile network issues,SMF-PCF version incompatibility;SMF and PCF are on different 3GPP release levels causing API mismatches; e.g.; SMF expecting an attribute that PCF (older) doesn't provide,Align software versions of SMF and PCF to a common release; or apply compatibility patches; if upgrade not immediate; configure SMF to accept partial info or use default values
Troubleshoot the mobile network issues,Aggressive rate limiting by PCF;PCF's built-in throttling thinks there are too many requests and starts rejecting or delaying them; threshold set too low for network size,Adjust PCF rate limiting or throttling configuration to match expected peak loads; monitor to ensure PCF isn't over-throttling; if due to bug; update to fix throttle behavior
Troubleshoot the mobile network issues,Conflicting policy rules for user;Two or more policies applicable to a subscriber or slice with overlapping conditions resulting in conflict; e.g.; one allows service; another denies,Examine the policy rule set for overlapping conditions; adjust priorities or merge rules to eliminate conflict; test the resulting policy decision for the subscriber to ensure correctness
